n,b_z
1849,2.565088
1850,2.564448
1851,2.563805
1852,2.563159
1853,2.562509
1854,2.561858
1855,2.561204
1856,2.560549
1857,2.559892
1858,2.559235
1859,2.558576
1860,2.557917
1861,2.557256
1862,2.556596
1863,2.555935
1864,2.555273
1865,2.554612
1866,2.553950
1867,2.553288
1868,2.552626
1869,2.551963
1870,2.551301
1871,2.550639
1872,2.549977
1873,2.549315
1874,2.548653
1875,2.547991
1876,2.547329
1877,2.546667
1878,2.546006
1879,2.545345
1880,2.544684
1881,2.544029
1882,2.546774
1883,2.547024
1884,2.546812
1885,2.546426
1886,2.545956
1887,2.545436
1888,2.544885
1889,2.544314
1890,2.543727
1891,2.543130
1892,2.542524
1893,2.541911
1894,2.541294
1895,2.540672
1896,2.540047
1897,2.539419
1898,2.538788
1899,2.538156
1900,2.537523
1901,2.536887
1902,2.536251
1903,2.535614
1904,2.534976
1905,2.534337
